"","Year","Covar","value","mean","sd","std"
"284",1957,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"285",1958,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"286",1959,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"287",1960,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"288",1961,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"289",1962,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"290",1963,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"291",1964,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"292",1965,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"293",1966,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"294",1967,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"295",1968,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"296",1969,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"297",1970,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"298",1971,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"299",1972,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"300",1973,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"301",1974,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"302",1975,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"303",1976,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"304",1977,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"305",1978,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"306",1979,"icecov",-1.23,0.0664864864864865,1.14039519518507,-1.13687473602174
"307",1980,"icecov",1.06,0.0664864864864865,1.14039519518507,0.871201069338316
"308",1981,"icecov",-1.16,0.0664864864864865,1.14039519518507,-1.07549250616357
"309",1982,"icecov",0.01,0.0664864864864865,1.14039519518507,-0.049532378534197
"310",1983,"icecov",-0.48,0.0664864864864865,1.14039519518507,-0.47920798754137
"311",1984,"icecov",0.01,0.0664864864864865,1.14039519518507,-0.049532378534197
"312",1985,"icecov",-0.15,0.0664864864864865,1.14039519518507,-0.189834618210008
"313",1986,"icecov",-0.15,0.0664864864864865,1.14039519518507,-0.189834618210008
"314",1987,"icecov",-1.26,0.0664864864864865,1.14039519518507,-1.16318140596095
"315",1988,"icecov",0.04,0.0664864864864865,1.14039519518507,-0.0232257085949823
"316",1989,"icecov",-0.38,0.0664864864864865,1.14039519518507,-0.391519087743988
"317",1990,"icecov",-0.36,0.0664864864864865,1.14039519518507,-0.373981307784511
"318",1991,"icecov",0.03,0.0664864864864865,1.14039519518507,-0.0319945985747205
"319",1992,"icecov",0.83,0.0664864864864865,1.14039519518507,0.669516599804337
"320",1993,"icecov",-0.52,0.0664864864864865,1.14039519518507,-0.514283547460323
"321",1994,"icecov",-0.5,0.0664864864864865,1.14039519518507,-0.496745767500846
"322",1995,"icecov",0.57,0.0664864864864865,1.14039519518507,0.441525460331143
"323",1996,"icecov",-1.04,0.0664864864864865,1.14039519518507,-0.97026582640671
"324",1997,"icecov",0.47,0.0664864864864865,1.14039519518507,0.353836560533761
"325",1998,"icecov",0.85,0.0664864864864865,1.14039519518507,0.687054379763813
"326",1999,"icecov",1.03,0.0664864864864865,1.14039519518507,0.844894399399101
"327",2000,"icecov",0.76,0.0664864864864865,1.14039519518507,0.60813436994617
"328",2001,"icecov",-1.26,0.0664864864864865,1.14039519518507,-1.16318140596095
"329",2002,"icecov",-0.42,0.0664864864864865,1.14039519518507,-0.42659464766294
"330",2003,"icecov",-1.22,0.0664864864864865,1.14039519518507,-1.128105846042
"331",2004,"icecov",-1.06,0.0664864864864865,1.14039519518507,-0.987803606366186
"332",2005,"icecov",-1.26,0.0664864864864865,1.14039519518507,-1.16318140596095
"333",2006,"icecov",-0.31,0.0664864864864865,1.14039519518507,-0.33013685788582
"334",2007,"icecov",0.44,0.0664864864864865,1.14039519518507,0.327529890594546
"335",2008,"icecov",2.04,0.0664864864864865,1.14039519518507,1.73055228735266
"336",2009,"icecov",2.31,0.0664864864864865,1.14039519518507,1.96731231680559
"337",2010,"icecov",2.13,0.0664864864864865,1.14039519518507,1.80947229717031
"338",2011,"icecov",0.48,0.0664864864864865,1.14039519518507,0.362605450513499
"339",2012,"icecov",3.11,0.0664864864864865,1.14039519518507,2.66882351518465
"340",2013,"icecov",1.54,0.0664864864864865,1.14039519518507,1.29210778836575
"341",2014,"icecov",-1.24,0.0664864864864865,1.14039519518507,-1.14564362600147
"342",2015,"icecov",-1.25,0.0664864864864865,1.14039519518507,-1.15441251598121
"343",2016,"icecov",-1.26,0.0664864864864865,1.14039519518507,-1.16318140596095
"344",2017,"icecov",-0.49,0.0664864864864865,1.14039519518507,-0.487976877521108
"345",2018,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"346",1950,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"347",1951,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"348",1952,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"349",1953,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"350",1954,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"351",1955,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"352",1956,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"353",1957,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"354",1958,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"355",1959,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"356",1960,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"357",1961,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"358",1962,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"359",1963,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"360",1964,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"361",1965,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"362",1966,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"363",1967,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"364",1968,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"365",1969,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"366",1970,"orcaCombined",71.47537,169.09766326087,69.77070338394,-1.39918746015309
"367",1971,"orcaCombined",74.84794,169.09766326087,69.77070338394,-1.35084954987804
"368",1972,"orcaCombined",78.25542,169.09766326087,69.77070338394,-1.30201128632709
"369",1973,"orcaCombined",81.69866,169.09766326087,69.77070338394,-1.25266048673643
"370",1974,"orcaCombined",85.17854,169.09766326087,69.77070338394,-1.20278453836236
"371",1975,"orcaCombined",88.69593,169.09766326087,69.77070338394,-1.1523709717878
"372",1976,"orcaCombined",92.25176,169.09766326087,69.77070338394,-1.10140645763589
"373",1977,"orcaCombined",95.84696,169.09766326087,69.77070338394,-1.04987766652974
"374",1978,"orcaCombined",99.48247,169.09766326087,69.77070338394,-0.997771125765858
"375",1979,"orcaCombined",103.15929,169.09766326087,69.77070338394,-0.945072502680938
"376",1980,"orcaCombined",106.87842,169.09766326087,69.77070338394,-0.891767464611677
"377",1981,"orcaCombined",110.64088,169.09766326087,69.77070338394,-0.837841392241508
"378",1982,"orcaCombined",114.44773,169.09766326087,69.77070338394,-0.783279092947327
"379",1983,"orcaCombined",118.30005,169.09766326087,69.77070338394,-0.72806508745277
"380",1984,"orcaCombined",122.468,169.09766326087,69.77070338394,-0.668327263439957
"381",1985,"orcaCombined",126.445,169.09766326087,69.77070338394,-0.611326261484809
"382",1986,"orcaCombined",123.191,169.09766326087,69.77070338394,-0.657964747872048
"383",1987,"orcaCombined",126.679,169.09766326087,69.77070338394,-0.607972418271959
"384",1988,"orcaCombined",128.425,169.09766326087,69.77070338394,-0.582947588145309
"385",1989,"orcaCombined",136.148,169.09766326087,69.77070338394,-0.472256429457955
"386",1990,"orcaCombined",140.126,169.09766326087,69.77070338394,-0.415241094839504
"387",1991,"orcaCombined",142.381,169.09766326087,69.77070338394,-0.38292093909174
"388",1992,"orcaCombined",151.594,169.09766326087,69.77070338394,-0.250874112083247
"389",1993,"orcaCombined",159.573,169.09766326087,69.77070338394,-0.136513791590382
"390",1994,"orcaCombined",164.063,169.09766326087,69.77070338394,-0.0721601333609094
"391",1995,"orcaCombined",169.041,169.09766326087,69.77070338394,-0.000812135439680812
"392",1996,"orcaCombined",177.998,169.09766326087,69.77070338394,0.127565529763301
"393",1997,"orcaCombined",184.956,169.09766326087,69.77070338394,0.22729220102403
"394",1998,"orcaCombined",191.7,169.09766326087,69.77070338394,0.323951682337964
"395",1999,"orcaCombined",186.679,169.09766326087,69.77070338394,0.251987379894716
"396",2000,"orcaCombined",192.913,169.09766326087,69.77070338394,0.341337202924234
"397",2001,"orcaCombined",206.637,169.09766326087,69.77070338394,0.538038674091558
"398",2002,"orcaCombined",215.849,169.09766326087,69.77070338394,0.670071168436748
"399",2003,"orcaCombined",226.551,169.09766326087,69.77070338394,0.823459331103077
"400",2004,"orcaCombined",237.786,169.09766326087,69.77070338394,0.984486803309787
"401",2005,"orcaCombined",241.509,169.09766326087,69.77070338394,1.03784730878603
"402",2006,"orcaCombined",245.8817,169.09766326087,69.77070338394,1.10051974561009
"403",2007,"orcaCombined",246.7121,169.09766326087,69.77070338394,1.11242158921671
"404",2008,"orcaCombined",249.5424,169.09766326087,69.77070338394,1.15298732616257
"405",2009,"orcaCombined",257,169.09766326087,69.77070338394,1.25987459600936
"406",2010,"orcaCombined",265,169.09766326087,69.77070338394,1.37453590243159
"407",2011,"orcaCombined",272.49077,169.09766326087,69.77070338394,1.48189858672014
"408",2012,"orcaCombined",280.20413,169.09766326087,69.77070338394,1.59245157853325
"409",2013,"orcaCombined",288.00617,169.09766326087,69.77070338394,1.70427559092806
"410",2014,"orcaCombined",295.89901,169.09766326087,69.77070338394,1.81740100915075
"411",2015,"orcaCombined",303.88481,169.09766326087,69.77070338394,1.93185879175408
"412",2016,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"413",2017,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"414",2018,"orcaCombined",NA,169.09766326087,69.77070338394,NA
"415",1950,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"416",1951,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"417",1952,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"418",1953,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"419",1954,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"420",1955,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"421",1956,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"422",1957,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"423",1958,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"424",1959,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"425",1960,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"426",1961,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"427",1962,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"428",1963,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"429",1964,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"430",1965,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"431",1966,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"432",1967,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"433",1968,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"434",1969,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"435",1970,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"436",1971,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"437",1972,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"438",1973,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"439",1974,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"440",1975,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"441",1976,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"442",1977,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"443",1978,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"444",1979,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"445",1980,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"446",1981,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"447",1982,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"448",1983,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"449",1984,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"450",1985,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"451",1986,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"452",1987,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"453",1988,"chascoSEAK",0.01,0.0287804878048781,0.0187343430564324,-1.00246311003843
"454",1989,"chascoSEAK",0.02,0.0287804878048781,0.0187343430564324,-0.468684051446537
"455",1990,"chascoSEAK",0.02,0.0287804878048781,0.0187343430564324,-0.468684051446537
"456",1991,"chascoSEAK",0.02,0.0287804878048781,0.0187343430564324,-0.468684051446537
"457",1992,"chascoSEAK",0.02,0.0287804878048781,0.0187343430564324,-0.468684051446537
"458",1993,"chascoSEAK",0.02,0.0287804878048781,0.0187343430564324,-0.468684051446537
"459",1994,"chascoSEAK",0.02,0.0287804878048781,0.0187343430564324,-0.468684051446537
"460",1995,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"461",1996,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"462",1997,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"463",1998,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"464",1999,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"465",2000,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"466",2001,"chascoSEAK",0.03,0.0287804878048781,0.0187343430564324,0.0650950071453523
"467",2002,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"468",2003,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"469",2004,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"470",2005,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"471",2006,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"472",2007,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"473",2008,"chascoSEAK",0.04,0.0287804878048781,0.0187343430564324,0.598874065737242
"474",2009,"chascoSEAK",0.06,0.0287804878048781,0.0187343430564324,1.66643218292102
"475",2010,"chascoSEAK",0.07,0.0287804878048781,0.0187343430564324,2.20021124151291
"476",2011,"chascoSEAK",0.07,0.0287804878048781,0.0187343430564324,2.20021124151291
"477",2012,"chascoSEAK",0.06,0.0287804878048781,0.0187343430564324,1.66643218292102
"478",2013,"chascoSEAK",0.06,0.0287804878048781,0.0187343430564324,1.66643218292102
"479",2014,"chascoSEAK",0.05,0.0287804878048781,0.0187343430564324,1.13265312432913
"480",2015,"chascoSEAK",0.06,0.0287804878048781,0.0187343430564324,1.66643218292102
"481",2016,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"482",2017,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"483",2018,"chascoSEAK",NA,0.0287804878048781,0.0187343430564324,NA
"484",1950,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"485",1951,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"486",1952,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"487",1953,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"488",1954,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"489",1955,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"490",1956,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"491",1957,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"492",1958,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"493",1959,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"494",1960,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"495",1961,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"496",1962,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"497",1963,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"498",1964,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"499",1965,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"500",1966,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"501",1967,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"502",1968,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"503",1969,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"504",1970,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"505",1971,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"506",1972,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"507",1973,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"508",1974,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"509",1975,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"510",1976,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"511",1977,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"512",1978,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"513",1979,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"514",1980,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"515",1981,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"516",1982,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"517",1983,"chascoGOA",0.15,0.21609756097561,0.0668908831149839,-0.988140055827781
"518",1984,"chascoGOA",0.15,0.21609756097561,0.0668908831149839,-0.988140055827781
"519",1985,"chascoGOA",0.17,0.21609756097561,0.0668908831149839,-0.68914564779133
"520",1986,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"521",1987,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"522",1988,"chascoGOA",0.17,0.21609756097561,0.0668908831149839,-0.68914564779133
"523",1989,"chascoGOA",0.17,0.21609756097561,0.0668908831149839,-0.68914564779133
"524",1990,"chascoGOA",0.17,0.21609756097561,0.0668908831149839,-0.68914564779133
"525",1991,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"526",1992,"chascoGOA",0.15,0.21609756097561,0.0668908831149839,-0.988140055827781
"527",1993,"chascoGOA",0.16,0.21609756097561,0.0668908831149839,-0.838642851809556
"528",1994,"chascoGOA",0.17,0.21609756097561,0.0668908831149839,-0.68914564779133
"529",1995,"chascoGOA",0.19,0.21609756097561,0.0668908831149839,-0.39015123975488
"530",1996,"chascoGOA",0.19,0.21609756097561,0.0668908831149839,-0.39015123975488
"531",1997,"chascoGOA",0.18,0.21609756097561,0.0668908831149839,-0.539648443773105
"532",1998,"chascoGOA",0.19,0.21609756097561,0.0668908831149839,-0.39015123975488
"533",1999,"chascoGOA",0.21,0.21609756097561,0.0668908831149839,-0.09115683171843
"534",2000,"chascoGOA",0.25,0.21609756097561,0.0668908831149839,0.506831984354471
"535",2001,"chascoGOA",0.28,0.21609756097561,0.0668908831149839,0.955323596409146
"536",2002,"chascoGOA",0.29,0.21609756097561,0.0668908831149839,1.10482080042737
"537",2003,"chascoGOA",0.29,0.21609756097561,0.0668908831149839,1.10482080042737
"538",2004,"chascoGOA",0.28,0.21609756097561,0.0668908831149839,0.955323596409146
"539",2005,"chascoGOA",0.29,0.21609756097561,0.0668908831149839,1.10482080042737
"540",2006,"chascoGOA",0.33,0.21609756097561,0.0668908831149839,1.70280961650027
"541",2007,"chascoGOA",0.35,0.21609756097561,0.0668908831149839,2.00180402453672
"542",2008,"chascoGOA",0.34,0.21609756097561,0.0668908831149839,1.8523068205185
"543",2009,"chascoGOA",0.33,0.21609756097561,0.0668908831149839,1.70280961650027
"544",2010,"chascoGOA",0.28,0.21609756097561,0.0668908831149839,0.955323596409146
"545",2011,"chascoGOA",0.24,0.21609756097561,0.0668908831149839,0.357334780336245
"546",2012,"chascoGOA",0.23,0.21609756097561,0.0668908831149839,0.20783757631802
"547",2013,"chascoGOA",0.26,0.21609756097561,0.0668908831149839,0.656329188372696
"548",2014,"chascoGOA",0.3,0.21609756097561,0.0668908831149839,1.2543180044456
"549",2015,"chascoGOA",0.34,0.21609756097561,0.0668908831149839,1.8523068205185
"550",2016,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"551",2017,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"552",2018,"chascoGOA",NA,0.21609756097561,0.0668908831149839,NA
"553",1950,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"554",1951,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"555",1952,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"556",1953,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"557",1954,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"558",1955,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"559",1956,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"560",1957,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"561",1958,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"562",1959,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"563",1960,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"564",1961,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"565",1962,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"566",1963,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"567",1964,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"568",1965,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"569",1966,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"570",1967,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"571",1968,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"572",1969,"sealionSEAK",NA,8871.32126086956,1531.32594040683,NA
"573",1970,"sealionSEAK",6539.437,8871.32126086956,1531.32594040683,-1.52278767004368
"574",1971,"sealionSEAK",6625.442,8871.32126086956,1531.32594040683,-1.46662392480134
"575",1972,"sealionSEAK",6711.446,8871.32126086956,1531.32594040683,-1.41046083258783
"576",1973,"sealionSEAK",6798.566,8871.32126086956,1531.32594040683,-1.35356896019073
"577",1974,"sealionSEAK",6886.818,8871.32126086956,1531.32594040683,-1.29593785914861
"578",1975,"sealionSEAK",6976.215,8871.32126086956,1531.32594040683,-1.23755904008659
"579",1976,"sealionSEAK",7066.772,8871.32126086956,1531.32594040683,-1.17842270757207
"580",1977,"sealionSEAK",7158.505,8871.32126086956,1531.32594040683,-1.11851841314366
"581",1978,"sealionSEAK",7251.429,8871.32126086956,1531.32594040683,-1.05783636136877
"582",1979,"sealionSEAK",7345.559,8871.32126086956,1531.32594040683,-0.996366756814824
"583",1980,"sealionSEAK",7440.911,8871.32126086956,1531.32594040683,-0.934099151020419
"584",1981,"sealionSEAK",7537.501,8871.32126086956,1531.32594040683,-0.871023095524135
"585",1982,"sealionSEAK",7635.344,8871.32126086956,1531.32594040683,-0.807128794893398
"586",1983,"sealionSEAK",7734.458,8871.32126086956,1531.32594040683,-0.742404494609118
