Population,Year,Harvest_ESSN,Harvest_InriverSport,Abundance_Inriver,Source,Page,Comments
Kasilof.Late,1996,3365,833,,Begich et al. 2017,107,
Kasilof.Late,1997,3296,1101,,Begich et al. 2017,107,
Kasilof.Late,1998,1480,637,,Begich et al. 2017,107,
Kasilof.Late,1999,2754,658,,Begich et al. 2017,107,
Kasilof.Late,2000,1072,1086,,Begich et al. 2017,107,
Kasilof.Late,2001,1749,1378,,Begich et al. 2017,107,
Kasilof.Late,2002,2758,451,,Begich et al. 2017,107,
Kasilof.Late,2003,4310,1144,,Begich et al. 2017,107,
Kasilof.Late,2004,6310,1038,,Begich et al. 2017,107,
Kasilof.Late,2005,6285,1052,12097,Begich et al. 2017,107,Inriver abundance from mark-recapture estimates (Reimer and Fleischman 2012)
Kasilof.Late,2006,2897,883,8611,Begich et al. 2017,107,Inriver abundance from mark-recapture estimates (Reimer and Fleischman 2012)
Kasilof.Late,2007,3577,1062,8522,Begich et al. 2017,107,Inriver abundance from mark-recapture estimates (Reimer and Fleischman 2012)
Kasilof.Late,2008,2204,793,8276,Begich et al. 2017,107,Inriver abundance from mark-recapture estimates (Reimer and Fleischman 2012)
Kasilof.Late,2009,1626,2164,,Begich et al. 2017,107,
Kasilof.Late,2010,2305,1310,,Begich et al. 2017,107,
Kasilof.Late,2011,2538,1660,,Begich et al. 2017,107,
Kasilof.Late,2012,205,55,,Begich et al. 2017,107,
Kasilof.Late,2013,637,762,,Begich et al. 2017,107,
Kasilof.Late,2014,891,314,,Begich et al. 2017,107,
Kasilof.Late,2015,1564,790,,Begich et al. 2017,107,