Population,Year,MarineSportHarvest,EastsideSetnetHarvest,DriftGillnetHarvest,EducationalHarvest,SubsistenceHarvest,PUHarvest,SportHarvestBelowSonar,InriverRun,SportHarvestAboveSonar,CatchAndReleaseMortality,Escapement,TotalRun,HarvestRate,Comments,Reference,Page,EscapementSimple
Kenai.Early,1986,144,0,0,0,NA,0,NA,20100,8156,242,11702,20244,0.41,,Begich et al. 2017,101-102,11944
Kenai.Early,1987,181,0,0,0,NA,0,NA,21750,13557,306,7887,21931,0.63,,Begich et al. 2017,101-102,8193
Kenai.Early,1988,212,0,0,0,NA,0,NA,19800,15209,340,4251,20012,0.77,,Begich et al. 2017,101-102,4591
Kenai.Early,1989,193,0,0,0,73,0,NA,12290,8394,149,3747,12556,0.69,,Begich et al. 2017,101-102,3896
Kenai.Early,1990,235,0,0,0,40,0,NA,9842,1807,378,7657,10117,0.21,,Begich et al. 2017,101-102,8035
Kenai.Early,1991,241,0,0,0,2,0,NA,10620,1945,152,8523,10863,0.2,,Begich et al. 2017,101-102,8675
Kenai.Early,1992,300,0,0,0,73,0,NA,11930,2241,236,9453,12303,0.21,,Begich et al. 2017,101-102,9689
Kenai.Early,1993,407,0,0,0,118,0,NA,12490,9342,286,2862,13015,0.76,,Begich et al. 2017,101-102,3148
Kenai.Early,1994,343,0,0,56,0,0,NA,13160,8171,285,4704,13559,0.63,,Begich et al. 2017,101-102,4989
Kenai.Early,1995,412,0,0,37,0,0,NA,12890,10217,357,2316,13339,0.8,,Begich et al. 2017,101-102,2673
Kenai.Early,1996,235,0,0,104,0,0,NA,9764,6623,287,2854,10103,0.69,,Begich et al. 2017,101-102,3141
Kenai.Early,1997,282,0,0,122,0,0,NA,11140,6429,349,4362,11544,0.59,,Begich et al. 2017,101-102,4711
Kenai.Early,1998,289,0,0,131,0,0,NA,11930,1170,254,10506,12350,0.13,,Begich et al. 2017,101-102,10760
Kenai.Early,1999,245,0,0,114,0,0,NA,13480,8129,261,5090,13839,0.61,,Begich et al. 2017,101-102,5351
Kenai.Early,2000,239,0,0,124,0,0,NA,10790,1818,185,8787,11153,0.2,,Begich et al. 2017,101-102,8972
Kenai.Early,2001,184,0,0,198,0,0,NA,14020,2399,204,11417,14402,0.19,,Begich et al. 2017,101-102,11621
Kenai.Early,2002,168,0,0,48,0,0,NA,10860,899,78,9883,11076,0.1,,Begich et al. 2017,101-102,9961
Kenai.Early,2003,202,0,0,126,0,0,NA,20450,2839,389,17222,20778,0.15,,Begich et al. 2017,101-102,17611
Kenai.Early,2004,194,0,0,72,0,0,NA,23460,3386,257,19817,23726,0.15,,Begich et al. 2017,101-102,20074
Kenai.Early,2005,187,341,0,76,0,0,NA,20810,3810,253,16747,21414,0.21,,Begich et al. 2017,101-102,17000
Kenai.Early,2006,252,0,0,65,0,0,NA,18180,4693,205,13282,18497,0.27,,Begich et al. 2017,101-102,13487
Kenai.Early,2007,201,41,0,16,0,0,NA,13630,3493,220,9917,13888,0.27,,Begich et al. 2017,101-102,10137
Kenai.Early,2008,107,102,0,40,0,0,NA,10210,3500,123,6587,10459,0.36,,Begich et al. 2017,101-102,6710
Kenai.Early,2009,71,16,0,49,0,0,NA,7741,1466,97,6178,7877,0.2,,Begich et al. 2017,101-102,6275
Kenai.Early,2010,88,48,0,32,0,0,NA,5874,1336,90,4448,6042,0.25,,Begich et al. 2017,101-102,4538
Kenai.Early,2011,110,0,0,42,0,0,NA,7366,1337,92,5937,7518,0.2,,Begich et al. 2017,101-102,6029
Kenai.Early,2012,48,0,0,19,0,0,NA,3228,316,10,2902,3295,0.12,,Begich et al. 2017,101-102,2912
Kenai.Early,2013,102,0,0,11,0,0,NA,4530,0,5,4525,4643,0.02,,Begich et al. 2017,101-102,4530
Kenai.Early,2014,78,18,0,1,0,0,NA,5776,0,0,5776,5873,0.02,,Begich et al. 2017,101-102,5776
Kenai.Early,2015,78,72,0,10,0,0,NA,6190,0,0,6190,6350,0.03,,Begich et al. 2017,101-102,6190
Kenai.Early,2016,NA,NA,0,4,0,0,NA,9851,NA,NA,NA,NA,NA,Preliminary data,Begich et al. 2017,101-102,NA
Kenai.Late,1986,378,13767,1100,NA,NA,NA,NA,62740,9872,316,52552,77986,0.32,,Begich et al. 2017,103-104,52868
Kenai.Late,1987,731,14693,2731,NA,NA,235,NA,63550,13100,123,50327,81940,0.38,,Begich et al. 2017,103-104,50450
Kenai.Late,1988,892,8929,1342,NA,NA,0,NA,61760,19695,176,41889,72923,0.42,,Begich et al. 2017,103-104,42065
Kenai.Late,1989,821,7579,0,NA,22,0,NA,36370,9691,88,26591,44792,0.4,,Begich et al. 2017,103-104,26679
Kenai.Late,1990,963,2874,373,NA,13,NA,NA,34200,6897,69,27234,38423,0.29,,Begich et al. 2017,103-104,27303
Kenai.Late,1991,1023,3398,148,NA,288,NA,NA,38940,7903,16,31021,43797,0.29,,Begich et al. 2017,103-104,31037
Kenai.Late,1992,1269,7443,369,NA,402,0,NA,42290,7556,234,34500,51773,0.33,,Begich et al. 2017,103-104,34734
Kenai.Late,1993,1700,9776,459,NA,27,0,NA,50210,17775,478,31957,62172,0.48,,Begich et al. 2017,103-104,32435
Kenai.Late,1994,1121,10815,278,1,392,NA,NA,47440,17837,572,29031,60048,0.51,,Begich et al. 2017,103-104,29603
Kenai.Late,1995,1241,8380,356,3,NA,712,NA,44770,12609,472,31689,55462,0.42,,Begich et al. 2017,103-104,32161
Kenai.Late,1996,1223,8030,233,1,NA,295,NA,42790,8112,337,34341,52572,0.34,,Begich et al. 2017,103-104,34678
Kenai.Late,1997,1759,7864,376,20,NA,364,NA,41120,12755,570,27795,51503,0.45,,Begich et al. 2017,103-104,28365
Kenai.Late,1998,1070,3532,201,2,NA,254,NA,47110,7515,595,39000,52169,0.24,,Begich et al. 2017,103-104,39595
Kenai.Late,1999,602,6571,345,4,NA,488,1170,43670,12425,682,30563,52850,0.41,,Begich et al. 2017,103-104,31245
Kenai.Late,2000,631,2558,162,6,NA,410,831,47440,14391,499,32550,52038,0.36,,Begich et al. 2017,103-104,33049
Kenai.Late,2001,552,4173,371,8,NA,638,1336,53610,15144,825,37641,60688,0.37,,Begich et al. 2017,103-104,38466
Kenai.Late,2002,256,6582,249,6,NA,606,1929,56800,10678,665,45457,66428,0.31,,Begich et al. 2017,103-104,46122
Kenai.Late,2003,120,10284,744,11,NA,1016,823,85110,16120,1803,67187,98108,0.3,,Begich et al. 2017,103-104,68990
Kenai.Late,2004,996,15057,662,10,NA,792,2386,79690,14988,1019,63683,99594,0.35,,Begich et al. 2017,103-104,64702
Kenai.Late,2005,624,14997,1175,11,NA,997,2287,77440,15927,1267,60246,97531,0.37,,Begich et al. 2017,103-104,61513
Kenai.Late,2006,563,6913,1669,11,NA,1034,3322,62270,12490,830,48950,75783,0.34,,Begich et al. 2017,103-104,49780
Kenai.Late,2007,478,8536,547,6,0,1509,1750,47370,9690,670,37010,60196,0.37,,Begich et al. 2017,103-104,37680
Kenai.Late,2008,310,5259,392,15,0,1362,1011,42840,10128,370,32342,51188,0.36,,Begich et al. 2017,103-104,32712
Kenai.Late,2009,154,3880,515,4,0,1189,1132,29940,7904,626,21410,36815,0.4,,Begich et al. 2017,103-104,22036
Kenai.Late,2010,335,4611,323,21,0,865,445,18401,6762,264,11375,25001,0.53,,Begich et al. 2017,103-104,11639
Kenai.Late,2011,528,5144,356,5,0,1243,458,23713,6894,479,16340,31447,0.47,,Begich et al. 2017,103-104,16819
Kenai.Late,2012,30,490,131,0,0,40,2,21613,101,95,21417,22305,0.04,,Begich et al. 2017,103-104,21512
Kenai.Late,2013,369,2293,296,8,0,11,37,19931,512,77,19342,22945,0.15,,Begich et al. 2017,103-104,19419
Kenai.Late,2014,591,1405,229,1,0,0,4,17815,293,71,17451,20045,0.13,,Begich et al. 2017,103-104,17522
Kenai.Late,2015,500,6007,334,10,0,66,392,24694,1823,229,22642,32003,0.29,Preliminary data,Begich et al. 2017,103-104,22871
Kenai.Late,2016,NA,NA,NA,6,1,NA,NA,22535,NA,NA,NA,NA,NA,Preliminary data,Begich et al. 2017,103-104,#VALUE!