"","Site","Year","maxWkJA","meanWkJA","maxWkJJA","meanWkJJA","wksGT15","wksGT18","cumDD","wksGT16","wksGT21","wksGT13","wksGT10","ASON_avg","ASON_max","MJJA_avg","MJJA_max","RB_ASON","MDIS_MJJA","RB_MJ","Population"
"1","Alexander",1980,17.6684397748993,14.2315242215764,17.6684397748993,13.6424006134001,3,0,1860.28705610062,2,0,6,9,93.879623665,123.82984565,103.14851015,123.82984565,0.1985549,658,0.05356676,"Alexander"
"2","Alexander",1981,15.6791027774526,13.9844823722203,15.7961226008319,13.7343447603409,3,0,1900.15180926514,0,0,8,11,126.07924216,193.71224641,114.17285022,193.71224641,0.1209975,380,0.07345195,"Alexander"
"3","Alexander",1982,15.2890366995219,14.4005528553464,15.4450631306942,13.6786210349222,3,0,1801.3090651175,0,0,8,10,123.64804595,208.64929437,70.10463574,95.120438898,0.1335746,543,0.04145163,"Alexander"
"4","Alexander",1983,16.7712877956587,14.2401923566416,17.2003604813824,14.3250162497789,7,0,1883.76903399205,3,0,6,9,111.22975891,163.54610241,68.373203255,163.54610241,0.1000277,497,0.07139947,"Alexander"
"5","Alexander",1984,16.6542679722794,14.3788825176836,16.6542679722794,14.0491838089564,6,0,1954.21496766634,3,0,7,10,75.379079987,149.69652337,76.746223966,149.69652337,0.1644919,497,0.04350167,"Alexander"
"6","Alexander",1985,17.0833406580032,14.5869177592466,17.0833406580032,13.686979593735,6,0,1781.10364228068,4,0,6,10,110.07158529,194.79135779,77.140479785,140.85413891,0.1490716,641,0.0805827,"Alexander"
"7","Alexander",1986,16.420228325521,13.6984339150711,16.8493010112448,13.8875850052423,5,0,1896.87525421052,5,0,5,11,143.06194173,145.31862156,77.188398462,144.33639216,0.1853568,277,0.06017491,"Alexander"
"8","Alexander",1987,18.2145322840023,14.8773002839284,18.2145322840023,14.1299832108135,3,1,1910.25452068355,1,0,8,10,99.953141265,131.565051,60.524848012,85.496090263,0.1128271,398,0.03239102,"Alexander"
"9","Alexander",1988,18.3315521073815,15.6530983722573,18.3315521073815,15.0912174742856,7,1,2038.04016781365,4,0,8,11,101.0196105,145.47856365,74.932261401,145.47856365,0.08222212,339,0.03507498,"Alexander"
"10","Alexander",1989,18.0975124606231,15.7657841281039,18.0975124606231,15.1469411997043,8,1,2051.69248054122,6,0,8,11,142.6002266,168.69765597,99.758856559,168.69765597,0.06941555,364,0.04572295,"Alexander"
"11","Alexander",1990,19.657776772346,15.874135816418,19.657776772346,16.002300384881,9,2,2107.94000897883,8,0,8,10,126.20752942,236.84175577,67.412000178,118.16751626,0.1907375,409,0.06522832,"Alexander"
"12","Alexander",1991,16.6932745800725,14.4568957332697,18.604598361933,14.6203519944978,5,1,1985.34224068521,3,0,8,11,96.455187794,125.0894917,66.784487105,125.0894917,0.05548937,320,0.04706177,"Alexander"
"13","Alexander",1992,17.6294331671062,14.7602804605492,17.6294331671062,14.6064210631432,6,0,1736.32405653424,3,0,7,9,105.14602631,116.63181014,63.817746575,116.63181014,0.06376169,279,0.04327197,"Alexander"
"14","Alexander",1993,18.9166512242776,15.9564830995367,18.9166512242776,15.6679580323689,8,3,2081.45452228734,6,0,8,10,168.18880469,241.29969939,77.053426848,186.31643603,0.1010461,298,0.06967734,"Alexander"
"15","Alexander",1994,18.2535388917954,15.5620829540734,18.2535388917954,15.0912174742856,7,1,2021.93043879511,6,0,7,10,90.952792847,125.49854483,56.658426408,84.794604712,0.1317976,345,0.04144294,"Alexander"
"16","Alexander",1995,17.2783736969686,15.328043307315,17.2783736969686,14.7847369844829,6,0,2082.28453593853,3,0,9,13,78.011824551,125.4385773,85.405889145,110.38949714,0.08230542,352,0.04564257,"Alexander"
"17","Alexander",1996,18.5265851463469,14.8382936761353,18.5265851463469,14.614779621956,5,1,1966.2290028666,4,0,8,10,88.052543011,132.79406507,66.476170849,132.79406507,0.06763054,207,0.06641604,"Alexander"
"18","Alexander",1997,20.203869281449,16.51991187877,20.6719485749658,16.2419124041812,9,3,2187.66951530787,7,0,9,12,95.496092231,161.35615886,73.960637087,161.35615886,0.1654454,282,0.07003133,"Alexander"
"19","Alexander",1998,16.1471820709695,13.8067856033852,17.8244662060716,13.8235027210108,5,0,1860.56010235517,2,0,6,11,86.111804437,165.38981185,101.80870373,165.38981185,0.09650271,353,0.09815478,"Alexander"
"20","Alexander",1999,19.5407569489667,15.1850190787404,19.5407569489667,14.8906120627784,6,1,2003.63633974016,5,0,7,12,109.16987091,158.8165948,89.992561044,158.8165948,0.104848,281,0.05114833,"Alexander"
"21","Alexander",2000,16.6932745800725,14.097168128067,17.6294331671062,14.1829207499612,3,0,1855.9183160278,3,0,7,9,95.180974558,129.63078337,64.855740654,95.302118461,0.1390637,394,0.03793534,"Alexander"
"22","Alexander",2001,17.5514199515201,15.5924214268014,18.3315521073815,15.6568132872852,10,2,2063.70651574149,8,0,9,12,60.881701197,70.341281451,65.971104845,158.44574275,0.06725179,306,0.03745358,"Alexander"
"23","Alexander",2002,20.1648626736559,16.2642018943487,20.1648626736559,15.9521490320041,9,2,2196.13394919897,8,0,10,11,131.20533469,164.52786147,68.675567259,145.82911388,0.09771987,312,0.09781738,"Alexander"
"24","Alexander",2003,21.2180410840688,17.5730902891829,21.2180410840688,17.1613538735894,12,5,2349.31289800236,9,1,10,12,111.92120412,121.1192613,77.093378186,118.08788569,0.09410072,367,0.05932478,"Alexander"
"25","Alexander",2004,20.1648626736559,17.781125530746,20.1648626736559,17.217077599008,12,6,2237.91002614535,10,0,9,9,129.78144105,225.24212869,50.013995805,66.477129385,0.1192353,267,0.07007145,"Alexander"
"26","Alexander",2005,18.8386380086915,16.4679030683792,18.8386380086915,16.2864913845162,11,4,2265.7607441096,8,0,8,13,114.16005954,224.47710835,57.993680651,114.74413245,0.1168613,736,0.03758927,"Alexander"
"27","Alexander",2006,16.8102944034517,14.7256079202887,16.8102944034517,14.2637201518183,7,0,2008.55117232209,4,0,7,12,126.01615679,253.54358863,102.98719663,253.54358863,0.2209911,385,0.07401093,"Alexander"
"28","Alexander",2007,17.6294331671062,15.5924214268014,17.6294331671062,15.3001814446057,7,0,2091.8302799603,5,0,10,11,110.05045389,185.52419589,64.861482973,102.68832911,0.1068899,307,0.04515138,"Alexander"
"29","Alexander",2008,15.9521490320041,14.1015021955995,15.9521490320041,13.6256834957745,2,0,1857.010501046,0,0,9,11,84.6623455,118.79710905,58.719589845,92.123981265,0.06689799,523,0.03411471,"Alexander"
"30","Alexander",2009,20.0478428502767,15.7007731151155,20.0478428502767,15.0187766312414,7,2,2066.16393203245,4,0,8,11,82.415310585,104.50942747,55.854867443,104.50942747,0.08764106,536,0.04194698,"Alexander"
"31","Alexander",2010,17.1613538735894,14.7559463930166,17.1613538735894,14.4058156516359,6,0,2025.20699384973,1,0,9,11,92.848190451,129.58313554,80.520019127,129.58313554,0.09799372,301,0.1062616,"Alexander"
"32","Anchor",1980,12.8556362106543,11.2302243191263,12.8556362106543,10.6636016954493,0,0,1525.75238746958,0,0,0,8,84.916161327,83.369900858,60.391452146,69.086481449,0.1985549,658,0.05356676,"Anchor"
"33","Anchor",1981,13.9289380846795,12.4006975562321,13.9289380846795,11.4699978124418,0,0,1609.50968556481,0,0,1,10,90.584943728,104.44500778,64.290430855,104.25841509,0.1209975,380,0.07345195,"Anchor"
"34","Anchor",1982,13.0941477382154,11.4864033672476,13.0941477382154,10.694835347868,0,0,1473.43885909116,0,0,1,9,82.192420681,155.01096454,34.828989082,40.670343038,0.1335746,543,0.04145163,"Anchor"
"35","Anchor",1983,13.8494342421591,12.4757845186124,13.8494342421591,11.9413420216698,0,0,1645.68393391158,0,0,3,9,92.084932264,139.90278286,36.139955166,65.988048534,0.1000277,497,0.07139947,"Anchor"
"36","Anchor",1984,14.4059611398019,12.6789610050534,14.4059611398019,11.9640574052471,0,0,1682.13644570718,0,0,3,9,61.385818083,88.663440817,43.329405531,88.328165323,0.1644919,497,0.04350167,"Anchor"
"37","Anchor",1985,13.1338996594756,11.4510683261274,13.1338996594756,10.3654622859978,0,0,1415.83832518514,0,0,1,9,67.632275145,107.08640955,50.947838792,72.156150599,0.1490716,641,0.0805827,"Anchor"
"38","Anchor",1986,12.8556362106543,11.5614903296279,12.8556362106543,11.0128507179495,0,0,1509.05658054029,0,0,0,9,106.65951821,107.83847833,46.348637755,82.424914949,0.1853568,277,0.06017491,"Anchor"
"39","Anchor",1987,14.6047207461028,12.7319635667337,14.6047207461028,11.7227064547387,0,0,1591.42256139142,0,0,5,10,94.776755716,120.37681641,33.827643429,39.192869833,0.1128271,398,0.03239102,"Anchor"
"40","Anchor",1988,14.0879457697203,12.599457162533,14.0879457697203,11.8277651037835,0,0,1610.90100280891,0,0,3,9,75.292356581,90.419051899,45.267449374,90.419051899,0.08222212,339,0.03507498,"Anchor"
"41","Anchor",1989,15.8767822264291,13.3061579849365,15.8767822264291,12.1826929721781,1,0,1714.69326921928,0,0,6,11,98.327317651,127.34124607,53.917370387,83.18330378,0.06941555,364,0.04572295,"Anchor"
"42","Anchor",1990,13.8096823208989,12.7407973270137,13.8096823208989,12.1429410509179,0,0,1709.12800024285,0,0,4,10,89.674253036,152.61454086,46.344514545,68.911063936,0.1907375,409,0.06522832,"Anchor"
"43","Anchor",1991,12.8953881319145,11.97667706279,12.8953881319145,11.274077629088,0,0,1617.3010621318,0,0,0,11,74.848370401,99.933879673,44.946628916,64.934834568,0.05548937,320,0.04706177,"Anchor"
"44","Anchor",1992,13.4916669508174,12.6524597242133,13.4916669508174,12.1713352803895,0,0,1546.62214613118,0,0,5,9,70.849433328,106.23431379,40.540000657,78.566845823,0.06376169,279,0.04327197,"Anchor"
"45","Anchor",1993,15.2009995650057,13.4828331905373,15.2009995650057,12.5716939159386,1,0,1774.79817416469,0,0,6,11,102.51171283,132.35681934,40.849944657,94.951630368,0.1010461,298,0.06967734,"Anchor"
"46","Anchor",1994,14.9624880374446,12.7761323681339,14.9624880374446,12.1514593197594,0,0,1684.08428984893,0,0,5,9,74.995580099,98.654483364,34.893334371,39.899909688,0.1317976,345,0.04144294,"Anchor"
"47","Anchor",1995,13.6506746358582,12.3521118746918,13.6506746358582,11.7652977989461,0,0,1734.4499740856,0,0,3,12,66.834658303,110.78438087,54.625371346,79.89451623,0.08230542,352,0.04564257,"Anchor"
"48","Anchor",1996,13.9686900059397,12.4183650767921,13.9686900059397,11.637523766324,0,0,1585.30076551735,0,0,2,10,58.864307125,88.320905749,32.637262971,56.830639529,0.06763054,207,0.06641604,"Anchor"
"49","Anchor",1997,14.9227361161844,13.7920148003389,14.9227361161844,12.9039064007559,0,0,1827.38996599193,0,0,7,12,84.380077342,107.21851707,41.367039868,80.843629323,0.1654454,282,0.07003133,"Anchor"
"50","Anchor",1998,13.6904265571184,11.6586616927084,13.6904265571184,11.1576612882545,0,0,1540.50035025711,0,0,2,9,84.633023416,98.334277503,59.824578964,78.540607194,0.09650271,353,0.09815478,"Anchor"
"51","Anchor",1999,14.2469534547611,12.2593573917514,14.2469534547611,11.3904939699214,0,0,1559.70052822578,0,0,1,9,91.34702504,118.22740615,46.519006109,84.13066998,0.104848,281,0.05114833,"Anchor"
"52","Anchor",2000,13.7301784783785,11.6277435317283,13.7301784783785,11.0327266785796,0,0,1519.6305915955,0,0,1,8,77.251830007,115.55070782,34.345978274,59.179628283,0.1390637,394,0.03793534,"Anchor"
"53","Anchor",2001,14.1276976909805,12.7717154879938,14.1276976909805,12.1202256673407,0,0,1642.0665090769,0,0,4,11,53.875471629,46.544650627,38.345300194,89.100491638,0.06725179,306,0.03745358,"Anchor"
"54","Anchor",2002,13.6506746358582,12.4139481966521,13.6506746358582,11.7028304941086,0,0,1656.53620841562,0,0,3,10,107.01303764,129.80390224,40.992780841,83.233690385,0.09771987,312,0.09781738,"Anchor"
"55","Anchor",2003,15.5985187776077,13.3017411047964,15.5985187776077,12.3161458506945,2,0,1719.98027474689,0,0,5,10,77.514414076,80.249286194,49.074634711,75.272303799,0.09410072,367,0.05932478,"Anchor"
"56","Anchor",2004,15.9562860689494,14.2602040951811,15.9562860689494,13.2815496527278,2,0,1817.65074528318,0,0,8,9,94.778012377,167.71745831,25.746134392,36.818469577,0.1192353,267,0.07007145,"Anchor"
"57","Anchor",2005,14.9624880374446,13.8759355229993,14.9624880374446,13.2020458102074,0,0,1900.01672613431,0,0,7,12,79.282953332,162.81895787,32.878017691,51.111893914,0.1168613,736,0.03758927,"Anchor"
"58","Anchor",2006,12.9351400531747,11.769083696209,12.9351400531747,11.3195083962425,0,0,1618.13585247827,0,0,0,9,75.562634808,127.34438087,54.881697189,127.34438087,0.2209911,385,0.07401093,"Anchor"
"59","Anchor",2007,13.4916669508174,12.2902755527315,13.4916669508174,11.3422237798197,0,0,1588.36166345438,0,0,1,11,97.516630408,143.73536333,30.178516468,39.531514886,0.1068899,307,0.04515138,"Anchor"
"60","Anchor",2008,12.5773727618329,11.4819864871075,12.5773727618329,10.5954555447175,0,0,1484.01287014637,0,0,0,11,68.931066981,104.6946549,38.561676914,61.296141868,0.06689799,523,0.03411471,"Anchor"
"61","Anchor",2009,13.4916669508174,12.1268509875507,13.4916669508174,11.1746978259375,0,0,1569.71801238335,0,0,3,11,66.822045043,78.679482157,33.878517396,57.592204902,0.08764106,536,0.04194698,"Anchor"
"62","Anchor",2010,12.8953881319145,11.2125567985662,12.8953881319145,10.6692805413436,0,0,1472.04754184705,0,0,0,9,71.561026346,83.19542235,48.226534656,79.579480339,0.09799372,301,0.1062616,"Anchor"
"63","Chuitna",1980,14.7084045014402,12.3864705978212,14.7084045014402,11.7408308133965,0,0,1561.4713349622,0,0,4,9,154.42083389,179.67496932,145.7736702,166.13591826,0.1985549,658,0.05356676,"Chuitna"
"64","Chuitna",1981,14.5425520797531,12.7319964763359,14.5425520797531,12.2828128342667,0,0,1671.47295364615,0,0,4,9,198.10672222,254.58381498,153.84049652,254.58381498,0.1209975,380,0.07345195,"Chuitna"
"65","Chuitna",1982,13.132806495413,12.2759023166964,13.132806495413,11.6430963506166,0,0,1516.19362384163,0,0,2,9,200.69270398,352.90205769,94.369068652,117.4678881,0.1335746,543,0.04145163,"Chuitna"
"66","Chuitna",1983,15.4132772936103,13.3078729405271,15.4132772936103,12.9965705775986,2,0,1688.8874579233,0,0,6,9,177.28132004,204.61544532,90.688592662,204.61544532,0.1000277,497,0.07139947,"Chuitna"
"67","Chuitna",1984,16.3254656128892,14.0910649318272,16.3254656128892,13.8850656937794,7,0,1891.47619101406,1,0,7,9,116.99958952,200.53821572,105.17206181,200.53821572,0.1644919,497,0.04350167,"Chuitna"
"68","Chuitna",1985,14.9571831339708,13.0038101674341,14.9571831339708,11.9688778932162,0,0,1575.40293838391,0,0,5,10,169.94671196,303.88244887,108.69593803,184.13199012,0.1490716,641,0.0805827,"Chuitna"
"69","Chuitna",1986,15.2059617665015,12.6490702654924,15.2059617665015,12.3153909885267,1,0,1649.12433982382,0,0,4,9,229.03650971,249.27094146,104.06410212,189.74138987,0.1853568,277,0.06017491,"Chuitna"
"70","Chuitna",1987,16.0766869803586,13.2433747765377,16.0766869803586,12.1406536156778,1,0,1641.86829637501,1,0,5,10,174.0954,231.24019239,82.326902638,105.59852606,0.1128271,398,0.03239102,"Chuitna"
"71","Chuitna",1988,15.3303510827668,13.4230482333654,15.3303510827668,12.8425647574606,1,0,1731.84323514025,0,0,7,9,155.94458513,194.6504433,104.57004394,194.6504433,0.08222212,339,0.03507498,"Chuitna"
"72","Chuitna",1989,15.9108345586715,14.3444505760714,15.9108345586715,13.5237443465325,5,0,1825.59131649887,0,0,7,10,224.04626511,279.6999505,134.73448668,215.78256818,0.06941555,364,0.04572295,"Chuitna"
"73","Chuitna",1990,15.4962035044538,13.8146442290154,15.4962035044538,13.6214788093124,2,0,1819.49624000187,0,0,7,10,203.65834089,383.89190459,93.015645435,151.63202115,0.1907375,409,0.06522832,"Chuitna"
"74","Chuitna",1991,14.210847236379,12.8655998160283,15.4547403990321,12.549361369121,1,0,1732.42371861615,0,0,4,11,156.97120716,198.98718975,94.051767757,163.62066368,0.05548937,320,0.04706177,"Chuitna"
"75","Chuitna",1992,15.0815724502361,13.524402491063,15.0815724502361,13.1594613488984,1,0,1559.43964279653,0,0,6,9,167.56231662,220.23402003,89.916808854,161.57275478,0.06376169,279,0.04327197,"Chuitna"
"76","Chuitna",1993,17.2376539321681,14.9111130168355,17.2376539321681,14.2700802441244,5,0,1903.37610227011,4,0,7,10,258.62291825,373.91796319,102.54703524,238.17403265,0.1010461,298,0.06967734,"Chuitna"
"77","Chuitna",1994,16.0352238749368,14.1002789552543,16.0352238749368,13.6244404596997,3,0,1802.66221920063,1,0,8,10,157.06008095,247.8308805,79.489492565,103.11045562,0.1317976,345,0.04144294,"Chuitna"
"78","Chuitna",1995,15.4132772936103,14.0311737795513,15.4132772936103,13.3401220225218,2,0,1898.73223446287,0,0,8,12,123.76059451,213.34280264,119.75812074,149.68404677,0.08230542,352,0.04564257,"Chuitna"
"79","Chuitna",1996,16.2840025074675,13.897570439859,16.2840025074675,13.4911661922726,3,0,1783.79650623373,1,0,7,10,136.60442525,167.39717311,88.532248318,167.39717311,0.06763054,207,0.06641604,"Chuitna"
"80","Chuitna",1997,16.8644859833722,14.4596258689096,16.8644859833722,13.8821040433921,4,0,1849.10089727301,3,0,7,11,154.37855866,205.84489377,99.617195775,205.84489377,0.1654454,282,0.07003133,"Chuitna"
"81","Chuitna",1998,14.4596258689096,12.2298321995611,15.1644986610797,12.1347303149033,1,0,1639.54636247139,0,0,3,8,141.28887089,215.83466109,142.13867211,215.83466109,0.09650271,353,0.09815478,"Chuitna"
"82","Chuitna",1999,16.5327811399981,13.5013674324954,16.5327811399981,12.8484880582352,2,0,1706.59220393839,1,0,5,9,174.69549811,219.55930181,119.90545589,207.3266716,0.104848,281,0.05114833,"Chuitna"
"83","Chuitna",2000,14.4596258689096,12.4555757735241,14.9571831339708,12.1998866234232,0,0,1594.55889308877,0,0,4,8,159.20711621,209.96561581,88.84997651,130.35170466,0.1390637,394,0.03793534,"Chuitna"
"84","Chuitna",2001,14.9986462393926,13.6764338776095,15.6205928207191,13.6362870612487,1,0,1773.05756192949,0,0,6,10,99.460850457,94.4368894,87.254879296,205.33435684,0.06725179,306,0.03745358,"Chuitna"
"85","Chuitna",2002,16.366928718311,13.9252125101401,16.366928718311,13.0143404799222,3,0,1763.18934283911,1,0,5,10,210.10775167,277.87050839,92.550004592,189.05697229,0.09771987,312,0.09781738,"Chuitna"
"86","Chuitna",2003,18.1498422514471,14.9295410636897,18.1498422514471,14.0183399612065,4,1,1880.73724670982,4,0,6,10,180.52734391,227.09995538,109.18025094,158.34093664,0.09410072,367,0.05932478,"Chuitna"
"87","Chuitna",2004,17.8596005134947,15.7818382306927,17.8596005134947,14.7735608099602,9,0,1894.95909186949,4,0,8,9,216.62628392,381.5194999,69.03417323,86.572660526,0.1192353,267,0.07007145,"Chuitna"
"88","Chuitna",2005,17.1547277213246,14.6254782905967,17.1547277213246,14.0272249123683,5,0,1953.00743945997,2,0,7,12,184.39317668,372.17122078,80.618428052,148.06983215,0.1168613,736,0.03758927,"Chuitna"
"89","Chuitna",2006,15.288887977345,12.8886348745959,15.288887977345,12.4782817598265,1,0,1723.71646647758,0,0,5,10,184.4409307,328.75875831,139.23665206,328.75875831,0.2209911,385,0.07401093,"Chuitna"
"90","Chuitna",2007,15.0815724502361,13.8883564164319,15.0815724502361,12.9758390248877,1,0,1763.47958457706,0,0,7,10,188.09569617,304.98175593,86.357980639,129.31059249,0.1068899,307,0.04515138,"Chuitna"
"91","Chuitna",2008,13.7132899713178,12.4233266915294,13.7132899713178,11.5809016924839,0,0,1544.63731416096,0,0,2,10,139.69428839,206.76174313,81.72764652,123.24437098,0.06689799,523,0.03411471,"Chuitna"
"92","Chuitna",2009,15.6620559261409,13.6073287019066,15.6620559261409,12.7714851481661,1,0,1744.3236298722,0,0,6,11,136.9495134,134.09921569,77.15387105,134.09921569,0.08764106,536,0.04194698,"Chuitna"
"93","Chuitna",2010,14.1279210255355,12.9577400502989,14.4596258689096,12.6530191326754,0,0,1725.16767516734,0,0,5,10,152.41596347,230.43878146,111.13505934,171.24617813,0.09799372,301,0.1062616,"Chuitna"
"94","Crooked",1980,12.2903580514184,10.7163841290798,12.2903580514184,10.2524926159206,0,0,1456.07062376869,0,0,0,6,68.215824467,72.257135039,55.74253612,65.340242398,0.1985549,658,0.05356676,"Crooked"
"95","Crooked",1981,12.4227483813347,11.0657474996923,12.4227483813347,10.3848829458369,0,0,1436.37756219364,0,0,0,8,76.464728872,99.063446191,60.39603616,99.063446191,0.1209975,380,0.07345195,"Crooked"
"96","Crooked",1982,11.0988450821714,10.3890858134533,11.0988450821714,9.78203412211078,0,0,1316.59741120184,0,0,0,8,70.333035026,134.05562388,32.034006605,41.445643844,0.1335746,543,0.04145163,"Crooked"
"97","Crooked",1983,13.9783347578516,12.4742335096355,13.9783347578516,12.1863370779127,0,0,1669.68242108869,0,0,3,9,73.283189373,90.800410617,32.40260202,66.167821289,0.1000277,497,0.07139947,"Crooked"
"98","Crooked",1984,12.7868217886046,10.7274166565728,12.7868217886046,10.1768409988255,0,0,1419.69638062418,0,0,0,8,51.918029591,82.546444838,39.828969943,82.546444838,0.1644919,497,0.04350167,"Crooked"
"99","Crooked",1985,11.9262846441485,10.1095951169633,11.9262846441485,9.37540668022491,0,0,1266.09050033876,0,0,0,4,56.389258561,96.586170075,45.279567791,68.332949572,0.1490716,641,0.0805827,"Crooked"
"100","Crooked",1986,11.2643329945668,9.89262207626709,11.2643329945668,9.51725346227812,0,0,1293.89246962119,0,0,0,3,87.857013046,94.37121237,41.296645389,74.75128305,0.1853568,277,0.06017491,"Crooked"
"101","Crooked",1987,13.0185048659582,10.9590997339264,13.0185048659582,10.3659700415632,0,0,1425.25677448067,0,0,1,7,74.283847542,100.50985101,29.770579636,35.02698727,0.1128271,398,0.03239102,"Crooked"
"102","Crooked",1988,12.2572604689393,11.4004008336475,12.2572604689393,10.8293361962703,0,0,1494.99338076409,0,0,0,9,61.657460547,81.775571787,39.480043059,81.775571787,0.08222212,339,0.03507498,"Crooked"
"103","Crooked",1989,12.5882362937301,11.7240216401096,12.5882362937301,11.2326538799083,0,0,1544.17111834771,0,0,0,10,82.2130039,108.87758413,49.7289998,77.916977415,0.06941555,364,0.04572295,"Crooked"
"104","Crooked",1990,12.1910653039811,11.3820132878258,12.1910653039811,10.9522700740498,0,0,1529.28247621242,0,0,0,9,75.871059588,144.2153503,38.658432177,59.454242439,0.1907375,409,0.06522832,"Crooked"
"105","Crooked",1991,11.6615039843158,10.4914431518608,11.6615039843158,10.117344154131,0,0,1468.07952994485,0,0,0,7,61.358685293,85.524002853,39.714615549,61.831762132,0.05548937,320,0.04706177,"Crooked"
"106","Crooked",1992,12.1910653039811,11.405917097394,12.1910653039811,10.8683440613349,0,0,1349.5736358785,0,0,0,8,59.69410069,81.178093443,35.166359895,68.784719795,0.06376169,279,0.04327197,"Crooked"
"107","Crooked",1993,13.7797492629771,12.0218998824214,13.7797492629771,11.3257999334565,0,0,1570.73830152022,0,0,2,10,87.369947446,120.85265734,37.402180423,88.611361267,0.1010461,298,0.06967734,"Crooked"
"108","Crooked",1994,12.9854072834791,11.3869166333782,12.9854072834791,10.9341452074541,0,0,1502.02110077715,0,0,0,8,58.583732751,77.67324676,29.20400396,32.156394643,0.1317976,345,0.04144294,"Crooked"
"109","Crooked",1995,12.3565532163765,11.6290193200308,12.3565532163765,11.0661415185314,0,0,1626.39629946979,0,0,0,12,54.385648691,95.228310166,48.362182666,68.767304366,0.08230542,352,0.04564257,"Crooked"
"110","Crooked",1996,12.0255773915857,11.0326499172133,12.0255773915857,10.578740214643,0,0,1443.79142066895,0,0,0,8,50.197884043,72.246585919,30.034519183,54.822549249,0.06763054,207,0.06641604,"Crooked"
"111","Crooked",1997,13.9452371753725,12.404360835513,13.9452371753725,11.8175354445743,0,0,1629.36956562916,0,0,4,10,67.851939305,84.434048647,38.920661926,78.657578341,0.1654454,282,0.07003133,"Crooked"
"112","Crooked",1998,12.0917725565439,10.8377419315031,12.0917725565439,10.5527349712666,0,0,1457.69240531017,0,0,0,7,62.491787224,76.774075113,52.645140775,74.597277161,0.09650271,353,0.09815478,"Crooked"
"113","Crooked",1999,13.2832855257909,11.3856907969901,13.2832855257909,10.7276793357989,0,0,1451.43696222162,0,0,1,8,74.693978522,97.809903479,43.286365145,79.620993839,0.104848,281,0.05114833,"Crooked"
"114","Crooked",2000,11.8269918967112,10.4037958501107,11.8269918967112,10.0255377646355,0,0,1364.78749129138,0,0,0,7,60.289891334,82.337700352,31.985200846,56.961169516,0.1390637,394,0.03793534,"Crooked"
"115","Crooked",2001,12.6544314586883,11.4886610535917,12.6544314586883,11.1035733082399,0,0,1491.74981768114,0,0,0,8,40.266097828,38.464441773,35.860694569,90.068147696,0.06725179,306,0.03745358,"Crooked"
"116","Crooked",2002,12.3896507988556,11.201815338773,12.3896507988556,10.6472994926354,0,0,1496.61516230557,0,0,0,9,87.521919299,110.74828076,36.742774332,77.126634197,0.09771987,312,0.09781738,"Crooked"
